source,target,weight,timestamp,direction,txid,wallet_label
19sDsWr46U4MkBZ6PPKgQUchcL622upcSf,1MvVjiJPHHKT9esMFK4cfGM7kVcDjkURPQ,50000000,1458281133,incoming,a16ca22cec0629c928b363a399bc4c836c2c7e4fad6fe5a9eb3a84b496dca97b,criminal
bc1qwsqj7hvgwjx55jt92cfdz0jz4l23xveuddsd23,bc1qntl97rlmp88m9yurt76wln5d2znh3c0njag78r,505421,1707507920,incoming,5ece3125e2caba9ce0e139f3b105ced981b121af9ccb331c895642c7c6e6b98a,criminal
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,112268,1668024080,incoming,3ffd310bde495b06ad09ac006a74ed2a4c6079e5fd38e6052245693f41941935,criminal
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,112268,1668024080,incoming,3ffd310bde495b06ad09ac006a74ed2a4c6079e5fd38e6052245693f41941935,criminal
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,112268,1668024080,incoming,3ffd310bde495b06ad09ac006a74ed2a4c6079e5fd38e6052245693f41941935,criminal
bc1qwchr0sfc5l87ahqp30f5j4v65c06uvfq0qxgtw,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,20549,1667962797,incoming,282d175f7af117bd1d64c32ca967bb4d1e769d26d6daa9177938b5a0dd8cce84,criminal
bc1qxtx832x5mt6zfcv2qy998vq9d3m6nnffngr8ce,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,20549,1667962797,incoming,282d175f7af117bd1d64c32ca967bb4d1e769d26d6daa9177938b5a0dd8cce84,criminal
bc1qdhq8mp2rakg3nzdacuw05ptvzuldg0mq6rppeu,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,1000000,1667950842,incoming,3e6e845158bfb9d7bc6b3a540cba6d6ba8d2c497cd2da4ae05bf6832cf2b9378,criminal
bc1q2nayl9lmzcsklvr2xvvvq6dqe7wxe0dx67vmkx,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,11993,1667947546,incoming,71b7978a37b34ba5525ab041f9d93310dd52aa880bd0c3c63579592c0cbe9aa8,criminal
bc1q2shtncpzs5r0nswvwwjdp6yx09aql3mc6zfl7g,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,11993,1667947546,incoming,71b7978a37b34ba5525ab041f9d93310dd52aa880bd0c3c63579592c0cbe9aa8,criminal
bc1q3ae77duhuw3zczef5j6r65qht47l7z5mnd8mqmxrf8gze46jluxsptltaq,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,5439000,1667947096,incoming,7b935f992f63f14b95ec55d76ce5f0407cf30a605fc27236f68bdbb30694e019,criminal
bc1qh5hm9vr3vnuprcn4e69yscsk3ezp2267kf4ag2zd7ttrxmllvmusch3rt8,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,9999000,1667946586,incoming,f7c1261382cd1ade94c9dffd19bbdf7491a2c210ebfe0e1775d7a32e57830ae8,criminal
3C8NA6gFjtzyArRkqpoEw9rxKjskf9pc9R,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,37193687,1667946586,incoming,18948e3a88a57ab2fc06068110d6f25f1d2070b3204e35c6a3a08b69fe07901c,criminal
3JnwVFgunGVFSMPsdZ2bMj3EVRChceZtrg,bc1qpqvsjp95kzc67s3w7e3q3gnrdx5ehrsqstms0h,400000,1667943190,incoming,d45c8d082a5dc58554ee232497bb6bd3e9e2a6bd2bac89161a60863080c34fb4,criminal
