source,target,weight,timestamp,direction,txid,wallet_label
1N52wHoVR79PMDishab2XmRHsbekCdGquK,19E6qdJvejZDq5pGYoJ47MMjcbhkkKFpHo,369787,1700702679,incoming,cc8f5c105f73d65e8d993c1d7250334e0c204b1dc2a917ec1785619b2eec6cad,benign
bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,13zKyMrnQmWxFezGsE1q7wUxZsxZN2eWgt,33883,1708462340,outgoing,8d84efab28494924057d78d9eb9e77f84b3d5125ac71fc1ebde865c7a588dcf0,benign
bc1q4hcppml73khank3wtdckgpglewytdw9e4dmy5r,bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,36708,1708461271,incoming,15362e5eb44d3d264c1f91f51506b057dcb3cc3500b09fb9c9e22bef9032d243,benign
bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,bc1q93whp2kdwwu06aguc40aeyksmq80zhp4478gd6,152243,1703612650,outgoing,e5b802ac68b3f5929d87df9fc2e9152052f188d39bf79a1dc5829a33830b71e3,benign
3C82f98QWtdDchqyH7FfmdNoEKakAgDuSk,bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,173380,1703606175,incoming,1248eb6ccd9964275f4c58b716633854d068ded8d6e069519351bb7867485187,benign
bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,bc1qe4u2a6r8whl8jspcv50tp707la7cx63s3euwuwjtax9fjfhkfmsqa7gm93,447485,1685624233,outgoing,9de8edd4bde71360a635f8d344bcddecdab7bd9bd9b0a1156054267b4dd4d63a,benign
bc1qc8ee9860cdnkyej0ag5hf49pcx7uvz89lkwpr9,bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,456390,1685624233,incoming,2ea5f56a8af645f59f47edc492f5875fd9f9250c2df37e05ed0fbd587b408201,benign
bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,bc1qe4u2a6r8whl8jspcv50tp707la7cx63s3euwuwjtax9fjfhkfmsqa7gm93,24623,1685306277,outgoing,479ed66482118afb8294e76c02ffd0ab625cfacfcc263f56a317dda6c0e1b82f,benign
bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,3GRkWogLrb2yVUhHhB1wAAgVZHLTm5gG4g,21697,1685300902,outgoing,e65255c3f8a113b509710dc10c3561914d6b8949c3414201ef2149e5b32e518c,benign
bc1qc8ee9860cdnkyej0ag5hf49pcx7uvz89lkwpr9,bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,63590,1685300902,incoming,1fde9863d436016d7ed32842038d02b928ecd2028464f92f3d6e78cc6f6a194f,benign
bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,bc1qe4u2a6r8whl8jspcv50tp707la7cx63s3euwuwjtax9fjfhkfmsqa7gm93,136231,1685060466,outgoing,0de8a1c23370739a512f4b5e7a13d14b76887eb2fbe089122c8b07880995d673,benign
bc1qc8ee9860cdnkyej0ag5hf49pcx7uvz89lkwpr9,bc1q42u72wmw62ftchmfrqfffa7arnhg4q0r2cvppx,145455,1685060466,incoming,97b021c657da1eab86cedd0207fb03b61ba5fae013cb132620373cc710335dae,benign
